"region","gcam.consumer","subregional.population.share","subregional.income.share","year"
"Africa_Western","d1",0.1,0.016687593,2015
"Africa_Southern","d1",0.1,0.009851626,2015
"Africa_Eastern","d1",0.1,0.01527198,2015
"Africa_Eastern","d2",0.1,0.023136394,2015
"Africa_Southern","d2",0.1,0.017333409,2015
"Africa_Western","d2",0.1,0.025402091,2015
"South Africa","d1",0.1,0.004461373,2015
"Central America and Caribbean","d1",0.1,0.011405396,2015
"Africa_Eastern","d3",0.1,0.031635242,2015
"Africa_Southern","d3",0.1,0.025198193,2015
"India","d1",0.1,0.016008409,2015
"Africa_Eastern","d4",0.1,0.039595619,2015
"Africa_Western","d3",0.1,0.036395791,2015
"Central Asia","d1",0.1,0.013529092,2015
"Africa_Southern","d4",0.1,0.032625227,2015
"Southeast Asia","d1",0.1,0.014023059,2015
"Africa_Eastern","d5",0.1,0.049031163,2015
"Africa_Western","d4",0.1,0.045610708,2015
"Pakistan","d1",0.1,0.032580196,2015
"South America_Southern","d1",0.1,0.014323921,2015
"Africa_Southern","d5",0.1,0.042285367,2015
"Africa_Eastern","d6",0.1,0.060116221,2015
"India","d2",0.1,0.027190853,2015
"Africa_Western","d5",0.1,0.055728495,2015
"Indonesia","d1",0.1,0.022996293,2015
"South Africa","d2",0.1,0.010637334,2015
"Africa_Eastern","d7",0.1,0.075912772,2015
"Africa_Southern","d6",0.1,0.055610884,2015
"Pakistan","d2",0.1,0.049271141,2015
"Africa_Western","d6",0.1,0.069513234,2015
"Southeast Asia","d2",0.1,0.025792305,2015
"India","d3",0.1,0.035701804,2015
"Central America and Caribbean","d2",0.1,0.020153367,2015
"Africa_Eastern","d8",0.1,0.099985362,2015
"Colombia","d1",0.1,0.014569928,2015
"South Asia","d1",0.1,0.02467307,2015
"Pakistan","d3",0.1,0.059333277,2015
"Central Asia","d2",0.1,0.023519856,2015
"Africa_Western","d7",0.1,0.087607737,2015
"Brazil","d1",0.1,0.014878664,2015
"Africa_Southern","d7",0.1,0.076169217,2015
"India","d4",0.1,0.044473152,2015
"Middle East","d1",0.1,0.019551229,2015
"Pakistan","d4",0.1,0.068209137,2015
"Central America and Caribbean","d3",0.1,0.026942244,2015
"South Africa","d3",0.1,0.017129965,2015
"Indonesia","d2",0.1,0.037223962,2015
"Africa_Eastern","d9",0.1,0.143693933,2015
"Pakistan","d5",0.1,0.077067037,2015
"Africa_Western","d8",0.1,0.117567297,2015
"Africa_Northern","d1",0.1,0.032121973,2015
"South America_Southern","d2",0.1,0.024922111,2015
"India","d5",0.1,0.054294503,2015
"Southeast Asia","d3",0.1,0.033059946,2015
"Central America and Caribbean","d4",0.1,0.036647731,2015
"Africa_Southern","d8",0.1,0.104714426,2015
"Pakistan","d6",0.1,0.086899562,2015
"Indonesia","d3",0.1,0.046968745,2015
"South Asia","d2",0.1,0.038867756,2015
"China","d1",0.1,0.023807043,2015
"Europe_Non_EU","d1",0.1,0.018962654,2015
"Central Asia","d3",0.1,0.037342186,2015
"India","d6",0.1,0.066282408,2015
"Pakistan","d7",0.1,0.098963191,2015
"Colombia","d2",0.1,0.025855213,2015
"Mexico","d1",0.1,0.017206809,2015
"South Africa","d4",0.1,0.024983356,2015
"Europe_Eastern","d1",0.1,0.033816694,2015
"Indonesia","d4",0.1,0.056306798,2015
"South Asia","d3",0.1,0.048295752,2015
"Pakistan","d8",0.1,0.115471918,2015
"Africa_Northern","d2",0.1,0.04774273,2015
"Africa_Western","d9",0.1,0.166437633,2015
"South America_Northern","d1",0.1,0.024512307,2015
"Brazil","d2",0.1,0.026334771,2015
"Argentina","d1",0.1,0.018301807,2015
"Central America and Caribbean","d5",0.1,0.047176212,2015
"Southeast Asia","d4",0.1,0.044973278,2015
"India","d7",0.1,0.082573333,2015
"Middle East","d2",0.1,0.032060231,2015
"Indonesia","d5",0.1,0.066230953,2015
"Taiwan","d1",0.1,0.033780996,2015
"Colombia","d3",0.1,0.034697753,2015
"South Asia","d4",0.1,0.057217302,2015
"Africa_Southern","d9",0.1,0.156778304,2015
"Africa_Northern","d3",0.1,0.056298143,2015
"South America_Southern","d3",0.1,0.034121727,2015
"Pakistan","d9",0.1,0.143814208,2015
"South Africa","d5",0.1,0.034652839,2015
"Southeast Asia","d5",0.1,0.057311289,2015
"Indonesia","d6",0.1,0.077782702,2015
"China","d2",0.1,0.038916367,2015
"EU-12","d1",0.1,0.030825882,2015
"Central America and Caribbean","d6",0.1,0.061164063,2015
"Brazil","d3",0.1,0.035260937,2015
"Africa_Northern","d4",0.1,0.064554437,2015
"South Asia","d5",0.1,0.066627983,2015
"Africa_Western","d10",0.1,0.379049422,2015
"India","d8",0.1,0.107148397,2015
"Europe_Eastern","d2",0.1,0.049517969,2015
"Middle East","d3",0.1,0.041122679,2015
"Central Asia","d4",0.1,0.056255006,2015
"Colombia","d4",0.1,0.043880342,2015
"South America_Southern","d4",0.1,0.0451226,2015
"Africa_Northern","d5",0.1,0.072255567,2015
"Mexico","d2",0.1,0.029411078,2015
"Africa_Southern","d10",0.1,0.479433347,2015
"Indonesia","d7",0.1,0.092637,2015
"South Asia","d6",0.1,0.077575364,2015
"Southeast Asia","d6",0.1,0.073317093,2015
"Africa_Eastern","d10",0.1,0.461621314,2015
"South America_Northern","d2",0.1,0.040103833,2015
"Europe_Eastern","d3",0.1,0.059196671,2015
"Europe_Non_EU","d2",0.1,0.03246874,2015
"China","d3",0.1,0.049228284,2015
"Central America and Caribbean","d7",0.1,0.082680081,2015
"Africa_Northern","d6",0.1,0.081732079,2015
"Brazil","d4",0.1,0.04449481,2015
"South Africa","d6",0.1,0.047378189,2015
"Taiwan","d2",0.1,0.052206897,2015
"Middle East","d4",0.1,0.050408298,2015
"Colombia","d5",0.1,0.054194724,2015
"Europe_Eastern","d4",0.1,0.066713131,2015
"South Asia","d7",0.1,0.091719266,2015
"Argentina","d2",0.1,0.032969298,2015
"Africa_Northern","d7",0.1,0.093728378,2015
"Indonesia","d8",0.1,0.113874558,2015
"South America_Southern","d5",0.1,0.056435196,2015
"India","d9",0.1,0.153740484,2015
"Mexico","d3",0.1,0.038534529,2015
"Europe_Non_EU","d3",0.1,0.04209326,2015
"China","d4",0.1,0.059014309,2015
"Central Asia","d5",0.1,0.079122212,2015
"South America_Northern","d3",0.1,0.050680596,2015
"Europe_Eastern","d5",0.1,0.075489281,2015
"Brazil","d5",0.1,0.054839298,2015
"Russia","d1",0.1,0.026720398,2015
"EU-15","d1",0.1,0.030161064,2015
"Southeast Asia","d7",0.1,0.091293144,2015
"Taiwan","d3",0.1,0.063453388,2015
"USA","d1",0.1,0.014120444,2015
"Middle East","d5",0.1,0.060327993,2015
"Africa_Northern","d8",0.1,0.111754033,2015
"Colombia","d6",0.1,0.066749885,2015
"South Asia","d8",0.1,0.112088471,2015
"Europe_Eastern","d6",0.1,0.086356084,2015
"South America_Southern","d6",0.1,0.070936846,2015
"Pakistan","d10",0.1,0.268390334,2015
"Central America and Caribbean","d8",0.1,0.117962822,2015
"China","d5",0.1,0.069322689,2015
"South Africa","d7",0.1,0.066055285,2015
"Europe_Non_EU","d4",0.1,0.052244145,2015
"South America_Northern","d4",0.1,0.060650315,2015
"Mexico","d4",0.1,0.047764477,2015
"Taiwan","d4",0.1,0.073303192,2015
