"region","gcam.consumer","subregional.population.share","subregional.income.share","year"
"Africa_Southern","d1",0.1,0.004380174,1990
"Africa_Southern","d1",0.1,0.0057382,1975
"South Africa","d1",0.1,0.00136828,1990
"Africa_Western","d1",0.1,0.008659741,1975
"Africa_Southern","d2",0.1,0.008966261,1990
"Africa_Western","d1",0.1,0.008433549,1990
"Africa_Southern","d1",0.1,0.007345099,2020
"Africa_Eastern","d1",0.1,0.015695069,1975
"India","d1",0.1,0.00325526,2025
"Africa_Eastern","d1",0.1,0.015169652,1990
"Africa_Western","d1",0.1,0.00903099,2005
"India","d1",0.1,0.004292073,2020
"Africa_Southern","d2",0.1,0.012587571,1975
"Africa_Southern","d1",0.1,0.009951669,2005
"India","d1",0.1,0.002743219,2030
"India","d1",0.1,0.022082175,1975
"Africa_Eastern","d1",0.1,0.015608713,2005
"India","d1",0.1,0.002538619,2035
"Africa_Southern","d1",0.1,0.008054337,2025
"Africa_Southern","d3",0.1,0.014102073,1990
"Africa_Western","d1",0.1,0.008837145,2015
"Africa_Western","d1",0.1,0.008953163,2010
"Africa_Southern","d1",0.1,0.009499005,2015
"South Asia","d1",0.1,0.022461337,1975
"India","d1",0.1,0.002312494,2040
"Africa_Southern","d1",0.1,0.010413191,2010
"Africa_Eastern","d1",0.1,0.016883437,2010
"India","d1",0.1,0.002149162,2045
"Africa_Eastern","d1",0.1,0.016523313,2020
"Africa_Eastern","d1",0.1,0.016984695,2015
"Africa_Western","d2",0.1,0.015912733,1990
"Africa_Western","d2",0.1,0.016864795,1975
"Africa_Southern","d1",0.1,0.008941087,2030
"Africa_Southern","d3",0.1,0.018912165,1975
"Africa_Eastern","d2",0.1,0.023252279,1990
"India","d1",0.1,0.002076921,2050
"Colombia","d1",0.1,0.006524653,1975
"Africa_Western","d1",0.1,0.012975936,2020
"Africa_Southern","d4",0.1,0.020579666,1990
"Africa_Eastern","d1",0.1,0.016652332,2025
"Africa_Eastern","d2",0.1,0.023608193,2005
"Africa_Southern","d2",0.1,0.016685592,2005
"Africa_Eastern","d2",0.1,0.028789137,1975
"Southeast Asia","d1",0.1,0.015709836,1975
"India","d2",0.1,0.036120834,1975
"Africa_Southern","d1",0.1,0.009708309,2035
"India","d1",0.1,0.002117505,2055
"China","d1",0.1,0.027648885,1990
"India","d1",0.1,0.01280128,2005
"South Asia","d1",0.1,0.028605228,1990
"China","d1",0.1,0.034311073,1975
"Africa_Southern","d2",0.1,0.015281875,2020
"Africa_Western","d2",0.1,0.017424526,2005
"Africa_Western","d1",0.1,0.012988599,2025
"South Asia","d2",0.1,0.036783568,1975
"Central America and Caribbean","d1",0.1,0.007519542,2005
"Africa_Eastern","d3",0.1,0.030372079,1990
"Central America and Caribbean","d1",0.1,0.007033865,2010
"South Africa","d1",0.1,0.00410041,2010
"Central America and Caribbean","d1",0.1,0.009097982,1990
"Africa_Southern","d4",0.1,0.025546924,1975
"Africa_Western","d3",0.1,0.02385082,1990
"Africa_Western","d3",0.1,0.024883483,1975
"Mexico","d1",0.1,0.005295002,1975
"Africa_Eastern","d1",0.1,0.017048743,2030
"Africa_Southern","d2",0.1,0.017810273,2010
"South America_Southern","d1",0.1,0.008574969,1975
"Southeast Asia","d1",0.1,0.011217481,1990
"Central America and Caribbean","d1",0.1,0.006146829,2020
"Africa_Western","d2",0.1,0.017054475,2010
"Africa_Southern","d2",0.1,0.018083633,2015
"Africa_Eastern","d3",0.1,0.030803827,2005
"Africa_Eastern","d2",0.1,0.027808711,2010
"Africa_Eastern","d3",0.1,0.036547327,1975
"India","d1",0.1,0.002303487,2060
"Africa_Western","d2",0.1,0.017352407,2015
"Central America and Caribbean","d1",0.1,0.010669045,1975
"India","d3",0.1,0.045872214,1975
"Africa_Southern","d1",0.1,0.010515775,2040
"South Asia","d1",0.1,0.024348222,2005
"Africa_Eastern","d2",0.1,0.028358668,2015
"Africa_Southern","d2",0.1,0.016295815,2025
"Africa_Western","d1",0.1,0.013058804,2030
"Central America and Caribbean","d1",0.1,0.007380922,2015
"Pakistan","d1",0.1,0.030123052,1975
"India","d1",0.1,0.01224357,2015
"Africa_Eastern","d4",0.1,0.03793374,1990
"Brazil","d1",0.1,0.006865102,1975
"Africa_Southern","d3",0.1,0.024491999,2005
"South Asia","d3",0.1,0.047336946,1975
"Africa_Eastern","d2",0.1,0.030089335,2020
"Africa_Southern","d5",0.1,0.031217124,1990
"Africa_Eastern","d1",0.1,0.017567681,2035
"Africa_Eastern","d4",0.1,0.037503418,2005
"South Africa","d1",0.1,0.004471829,2020
"Africa_Western","d2",0.1,0.022376549,2020
"Central America and Caribbean","d1",0.1,0.006659757,2025
"Africa_Eastern","d4",0.1,0.044250398,1975
"Africa_Southern","d3",0.1,0.02208397,2020
"India","d1",0.1,0.034347487,1990
