# File: A_PrimaryFuelCCoef.csv
# Title: Global Default Emissions Factors
# Description: assumed global default emissions factors
# Units: kg C per GJ
# Source: CDIAC inventory IEA energy balance some manual adjustments
# Column types: cni
# ----------
PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef,traded
biomass,0,0
regional biomass,23,0
delivered biomass,23,0
regional biomassOil,19.6,0
regional sugar for ethanol,19.6,0
regional corn for ethanol,19.6,0
coal,27.3,0
regional coal,27.3,0
delivered coal,27.3,0
natural gas,14.2,0
regional natural gas,14.2,0
gas processing,14.2,0
gas pipeline,14.2,0
wholesale gas,14.2,0
delivered gas,14.2,0
delivered gas transport,14.2,0
crude oil,19.6,0
regional oil,19.6,0
refining,19.6,0
refined liquids industrial,19.6,0
refined liquids transport,19.6,0
refined liquids bunkers,19.6,0
refined liquids enduse,19.6,0
limestone,0.08,0
unconventional oil upscaling,1.5,0
delivered gas transport_d1,14.2,0
delivered gas transport_d2,14.2,0
delivered gas transport_d3,14.2,0
delivered gas transport_d4,14.2,0
delivered gas transport_d5,14.2,0
delivered gas transport_d6,14.2,0
delivered gas transport_d7,14.2,0
delivered gas transport_d8,14.2,0
delivered gas transport_d9,14.2,0
delivered gas transport_d10,14.2,0
refined liquids transport_d1,19.6,0
refined liquids transport_d2,19.6,0
refined liquids transport_d3,19.6,0
refined liquids transport_d4,19.6,0
refined liquids transport_d5,19.6,0
refined liquids transport_d6,19.6,0
refined liquids transport_d7,19.6,0
refined liquids transport_d8,19.6,0
refined liquids transport_d9,19.6,0
refined liquids transport_d10,19.6,0
refined liquids bunkers_d1,19.6,0
refined liquids bunkers_d2,19.6,0
refined liquids bunkers_d3,19.6,0
refined liquids bunkers_d4,19.6,0
refined liquids bunkers_d5,19.6,0
refined liquids bunkers_d6,19.6,0
refined liquids bunkers_d7,19.6,0
refined liquids bunkers_d8,19.6,0
refined liquids bunkers_d9,19.6,0
refined liquids bunkers_d10,19.6,0
