# File: fuel_to_Ccoef.csv
# Title: CO2 Coefficient for Primary Fuel Mapping
# Units: Unitless
# Description: Mapping between fuels in datasets and sectors being assigned a primary fuel CO2 coefficient
# Note: This only maps the fuels whose emissions coefficients are calculated from emissions inventories
# Column types: cc
# ----------
PrimaryFuelCO2Coef.name,fuel
coal,coal
regional coal,coal
delivered coal,coal
natural gas,gas
regional natural gas,gas
gas processing,gas
gas pipeline,gas
wholesale gas,gas
delivered gas,gas
delivered gas transport,gas
crude oil,refined liquids
regional oil,refined liquids
refining,refined liquids
refined liquids industrial,refined liquids
refined liquids enduse,refined liquids
unconventional oil upscaling,refined liquids
refined liquids bunkers,refined liquids
refined liquids transport,refined liquids
delivered gas transport_d1,gas
delivered gas transport_d2,gas
delivered gas transport_d3,gas
delivered gas transport_d4,gas
delivered gas transport_d5,gas
delivered gas transport_d6,gas
delivered gas transport_d7,gas
delivered gas transport_d8,gas
delivered gas transport_d9,gas
delivered gas transport_d10,gas
refined liquids bunkers_d1,refined liquids
refined liquids bunkers_d2,refined liquids
refined liquids bunkers_d3,refined liquids
refined liquids bunkers_d4,refined liquids
refined liquids bunkers_d5,refined liquids
refined liquids bunkers_d6,refined liquids
refined liquids bunkers_d7,refined liquids
refined liquids bunkers_d8,refined liquids
refined liquids bunkers_d9,refined liquids
refined liquids bunkers_d10,refined liquids
refined liquids bunkers_d1,refined liquids
refined liquids bunkers_d2,refined liquids
refined liquids bunkers_d3,refined liquids
refined liquids bunkers_d4,refined liquids
refined liquids bunkers_d5,refined liquids
refined liquids bunkers_d6,refined liquids
refined liquids bunkers_d7,refined liquids
refined liquids bunkers_d8,refined liquids
refined liquids bunkers_d9,refined liquids
refined liquids bunkers_d10,refined liquids
