# File: A26.globaltech_shrwt.csv
# Title: Final energy transformation default technology shareweights
# Units: NA
# Description: Default shareweights for final energy transformation technologies, used to interpolate shareweights for all model years.
# Source: NA
# Column types: cccii 
# ----------
supplysector,subsector,technology,1971,2100
backup_electricity,gas,gas (steam/CT),1,1
csp_backup,gas,CSP gas hybrid mode,1,1
delivered biomass,delivered biomass,delivered biomass,1,1
delivered coal,delivered coal,delivered coal,1,1
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,1,1
elect_td_bld,elect_td_bld,elect_td_bld,1,1
elect_td_ind,elect_td_ind,elect_td_ind,1,1
elect_td_trn,elect_td_trn,elect_td_trn,1,1
gas pipeline,gas pipeline,gas pipeline,1,1
wholesale gas,wholesale gas,wholesale gas,1,1
delivered gas,delivered gas,delivered gas,1,1
delivered gas transport,delivered gas transport,delivered gas transport,1,1
refined liquids enduse,refined liquids enduse,refined liquids enduse,1,1
refined liquids industrial,refined liquids industrial,refined liquids industrial,1,1
refined liquids transport,refined liquids transport,refined liquids transport,1,1
refined liquids bunkers,refined liquids bunkers,refined liquids bunkers,1,1
delivered gas transport_d1,delivered gas transport_d1,delivered gas transport_d1,1,1
delivered gas transport_d2,delivered gas transport_d2,delivered gas transport_d2,1,1
delivered gas transport_d3,delivered gas transport_d3,delivered gas transport_d3,1,1
delivered gas transport_d4,delivered gas transport_d4,delivered gas transport_d4,1,1
delivered gas transport_d5,delivered gas transport_d5,delivered gas transport_d5,1,1
delivered gas transport_d6,delivered gas transport_d6,delivered gas transport_d6,1,1
delivered gas transport_d7,delivered gas transport_d7,delivered gas transport_d7,1,1
delivered gas transport_d8,delivered gas transport_d8,delivered gas transport_d8,1,1
delivered gas transport_d9,delivered gas transport_d9,delivered gas transport_d9,1,1
delivered gas transport_d10,delivered gas transport_d10,delivered gas transport_d10,1,1
refined liquids transport_d1,refined liquids transport_d1,refined liquids transport_d1,1,1
refined liquids transport_d2,refined liquids transport_d2,refined liquids transport_d2,1,1
refined liquids transport_d3,refined liquids transport_d3,refined liquids transport_d3,1,1
refined liquids transport_d4,refined liquids transport_d4,refined liquids transport_d4,1,1
refined liquids transport_d5,refined liquids transport_d5,refined liquids transport_d5,1,1
refined liquids transport_d6,refined liquids transport_d6,refined liquids transport_d6,1,1
refined liquids transport_d7,refined liquids transport_d7,refined liquids transport_d7,1,1
refined liquids transport_d8,refined liquids transport_d8,refined liquids transport_d8,1,1
refined liquids transport_d9,refined liquids transport_d9,refined liquids transport_d9,1,1
refined liquids transport_d10,refined liquids transport_d10,refined liquids transport_d10,1,1
refined liquids bunkers_d1,refined liquids bunkers_d1,refined liquids bunkers_d1,1,1
refined liquids bunkers_d2,refined liquids bunkers_d2,refined liquids bunkers_d2,1,1
refined liquids bunkers_d3,refined liquids bunkers_d3,refined liquids bunkers_d3,1,1
refined liquids bunkers_d4,refined liquids bunkers_d4,refined liquids bunkers_d4,1,1
refined liquids bunkers_d5,refined liquids bunkers_d5,refined liquids bunkers_d5,1,1
refined liquids bunkers_d6,refined liquids bunkers_d6,refined liquids bunkers_d6,1,1
refined liquids bunkers_d7,refined liquids bunkers_d7,refined liquids bunkers_d7,1,1
refined liquids bunkers_d8,refined liquids bunkers_d8,refined liquids bunkers_d8,1,1
refined liquids bunkers_d9,refined liquids bunkers_d9,refined liquids bunkers_d9,1,1
refined liquids bunkers_d10,refined liquids bunkers_d10,refined liquids bunkers_d10,1,1
refined liquids transport_d1,refined liquids transport_d1,refined liquids transport_biofuel_d1,0,0
refined liquids transport_d2,refined liquids transport_d2,refined liquids transport_biofuel_d2,0,0
refined liquids transport_d3,refined liquids transport_d3,refined liquids transport_biofuel_d3,0,0
refined liquids transport_d4,refined liquids transport_d4,refined liquids transport_biofuel_d4,0,0
refined liquids transport_d5,refined liquids transport_d5,refined liquids transport_biofuel_d5,0,0
refined liquids transport_d6,refined liquids transport_d6,refined liquids transport_biofuel_d6,0,0
refined liquids transport_d7,refined liquids transport_d7,refined liquids transport_biofuel_d7,0,0
refined liquids transport_d8,refined liquids transport_d8,refined liquids transport_biofuel_d8,0,0
refined liquids transport_d9,refined liquids transport_d9,refined liquids transport_biofuel_d9,0,0
refined liquids transport_d10,refined liquids transport_d10,refined liquids transport_biofuel_d10,0,0
refined liquids bunkers_d1,refined liquids bunkers_d1,refined liquids bunkers_biofuel_d1,0,0
refined liquids bunkers_d2,refined liquids bunkers_d2,refined liquids bunkers_biofuel_d2,0,0
refined liquids bunkers_d3,refined liquids bunkers_d3,refined liquids bunkers_biofuel_d3,0,0
refined liquids bunkers_d4,refined liquids bunkers_d4,refined liquids bunkers_biofuel_d4,0,0
refined liquids bunkers_d5,refined liquids bunkers_d5,refined liquids bunkers_biofuel_d5,0,0
refined liquids bunkers_d6,refined liquids bunkers_d6,refined liquids bunkers_biofuel_d6,0,0
refined liquids bunkers_d7,refined liquids bunkers_d7,refined liquids bunkers_biofuel_d7,0,0
refined liquids bunkers_d8,refined liquids bunkers_d8,refined liquids bunkers_biofuel_d8,0,0
refined liquids bunkers_d9,refined liquids bunkers_d9,refined liquids bunkers_biofuel_d9,0,0
refined liquids bunkers_d10,refined liquids bunkers_d10,refined liquids bunkers_biofuel_d10,0,0
