# File: A26.subsector_interp.csv
# Title: Final energy delivery subsector shareweight interpolation
# Units: NA
# Description: form of interpolation function to calculate shareweights for future years for final energy delivery subsectors
# Source: NA
# Column types: ccccccc 
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
delivered biomass,delivered biomass,share-weight,final-calibration-year,end-year,,linear
delivered coal,delivered coal,share-weight,final-calibration-year,end-year,,linear
electricity_net_ownuse,electricity_net_ownuse,share-weight,final-calibration-year,end-year,,linear
elect_td_bld,elect_td_bld,share-weight,final-calibration-year,end-year,,linear
elect_td_ind,elect_td_ind,share-weight,final-calibration-year,end-year,,linear
elect_td_trn,elect_td_trn,share-weight,final-calibration-year,end-year,,linear
gas pipeline,gas pipeline,share-weight,final-calibration-year,end-year,,linear
wholesale gas,wholesale gas,share-weight,final-calibration-year,end-year,,linear
delivered gas,delivered gas,share-weight,final-calibration-year,end-year,,linear
delivered gas transport,delivered gas transport,share-weight,final-calibration-year,end-year,,linear
refined liquids enduse,refined liquids enduse,share-weight,final-calibration-year,end-year,,linear
refined liquids industrial,refined liquids industrial,share-weight,final-calibration-year,end-year,,linear
refined liquids transport,refined liquids transport,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers,refined liquids bunkers,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d1,delivered gas transport_d1,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d2,delivered gas transport_d2,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d3,delivered gas transport_d3,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d4,delivered gas transport_d4,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d5,delivered gas transport_d5,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d6,delivered gas transport_d6,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d7,delivered gas transport_d7,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d8,delivered gas transport_d8,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d9,delivered gas transport_d9,share-weight,final-calibration-year,end-year,,linear
delivered gas transport_d10,delivered gas transport_d10,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d1,refined liquids transport_d1,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d2,refined liquids transport_d2,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d3,refined liquids transport_d3,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d4,refined liquids transport_d4,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d5,refined liquids transport_d5,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d6,refined liquids transport_d6,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d7,refined liquids transport_d7,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d8,refined liquids transport_d8,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d9,refined liquids transport_d9,share-weight,final-calibration-year,end-year,,linear
refined liquids transport_d10,refined liquids transport_d10,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d1,refined liquids bunkers_d1,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d2,refined liquids bunkers_d2,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d3,refined liquids bunkers_d3,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d4,refined liquids bunkers_d4,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d5,refined liquids bunkers_d5,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d6,refined liquids bunkers_d6,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d7,refined liquids bunkers_d7,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d8,refined liquids bunkers_d8,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d9,refined liquids bunkers_d9,share-weight,final-calibration-year,end-year,,linear
refined liquids bunkers_d10,refined liquids bunkers_d10,share-weight,final-calibration-year,end-year,,linear
