# File: A26.subsector_logit.csv
# Title: Final energy delivery subsector logit exponents
# Units: NA
# Description: Logit exponents for final energy delivery subsectors
# Source: NA
# Column types: ccic 
# ----------
supplysector,subsector,logit.exponent,logit.type
backup_electricity,gas,-6,
csp_backup,gas,-6,
delivered biomass,delivered biomass,-6,
delivered coal,delivered coal,-6,
electricity_net_ownuse,electricity_net_ownuse,-6,
elect_td_bld,elect_td_bld,-6,
elect_td_ind,elect_td_ind,-6,
elect_td_trn,elect_td_trn,-6,
gas pipeline,gas pipeline,-6,
wholesale gas,wholesale gas,-6,
delivered gas,delivered gas,-6,
delivered gas transport,delivered gas transport,-6,
refined liquids enduse,refined liquids enduse,-6,
refined liquids industrial,refined liquids industrial,-6,
refined liquids bunkers,refined liquids bunkers,-6,
refined liquids transport,refined liquids transport,-6,
delivered gas transport_d1,delivered gas transport_d1,-6,
delivered gas transport_d2,delivered gas transport_d2,-6,
delivered gas transport_d3,delivered gas transport_d3,-6,
delivered gas transport_d4,delivered gas transport_d4,-6,
delivered gas transport_d5,delivered gas transport_d5,-6,
delivered gas transport_d6,delivered gas transport_d6,-6,
delivered gas transport_d7,delivered gas transport_d7,-6,
delivered gas transport_d8,delivered gas transport_d8,-6,
delivered gas transport_d9,delivered gas transport_d9,-6,
delivered gas transport_d10,delivered gas transport_d10,-6,
refined liquids bunkers_d1,refined liquids bunkers_d1,-6,
refined liquids bunkers_d2,refined liquids bunkers_d2,-6,
refined liquids bunkers_d3,refined liquids bunkers_d3,-6,
refined liquids bunkers_d4,refined liquids bunkers_d4,-6,
refined liquids bunkers_d5,refined liquids bunkers_d5,-6,
refined liquids bunkers_d6,refined liquids bunkers_d6,-6,
refined liquids bunkers_d7,refined liquids bunkers_d7,-6,
refined liquids bunkers_d8,refined liquids bunkers_d8,-6,
refined liquids bunkers_d9,refined liquids bunkers_d9,-6,
refined liquids bunkers_d10,refined liquids bunkers_d10,-6,
refined liquids transport_d1,refined liquids transport_d1,-6,
refined liquids transport_d2,refined liquids transport_d2,-6,
refined liquids transport_d3,refined liquids transport_d3,-6,
refined liquids transport_d4,refined liquids transport_d4,-6,
refined liquids transport_d5,refined liquids transport_d5,-6,
refined liquids transport_d6,refined liquids transport_d6,-6,
refined liquids transport_d7,refined liquids transport_d7,-6,
refined liquids transport_d8,refined liquids transport_d8,-6,
refined liquids transport_d9,refined liquids transport_d9,-6,
refined liquids transport_d10,refined liquids transport_d10,-6,
