# File: A26.subsector_shrwt.csv
# Title: Final energy delivery subsector shareweights
# Units: N/A
# Description: Shareweights of the distribution of final energy delivery to energy distribution subsectors
# Source: N/A
# Column types: cccci 
# ----------
supplysector,subsector,year.fillout,year,share.weight
backup_electricity,gas,start-year,,1
csp_backup,gas,start-year,,1
delivered biomass,delivered biomass,start-year,,1
delivered coal,delivered coal,start-year,,1
electricity_net_ownuse,electricity_net_ownuse,start-year,,1
elect_td_bld,elect_td_bld,start-year,,1
elect_td_ind,elect_td_ind,start-year,,1
elect_td_trn,elect_td_trn,start-year,,1
gas pipeline,gas pipeline,start-year,,1
wholesale gas,wholesale gas,start-year,,1
delivered gas,delivered gas,start-year,,1
delivered gas transport,delivered gas transport,start-year,,1
refined liquids enduse,refined liquids enduse,start-year,,1
refined liquids industrial,refined liquids industrial,start-year,,1
refined liquids transport,refined liquids transport,start-year,,1
refined liquids bunkers,refined liquids bunkers,start-year,,1
delivered gas transport_d1,delivered gas transport_d1,start-year,,1
delivered gas transport_d2,delivered gas transport_d2,start-year,,1
delivered gas transport_d3,delivered gas transport_d3,start-year,,1
delivered gas transport_d4,delivered gas transport_d4,start-year,,1
delivered gas transport_d5,delivered gas transport_d5,start-year,,1
delivered gas transport_d6,delivered gas transport_d6,start-year,,1
delivered gas transport_d7,delivered gas transport_d7,start-year,,1
delivered gas transport_d8,delivered gas transport_d8,start-year,,1
delivered gas transport_d9,delivered gas transport_d9,start-year,,1
delivered gas transport_d10,delivered gas transport_d10,start-year,,1
refined liquids transport_d1,refined liquids transport_d1,start-year,,1
refined liquids transport_d2,refined liquids transport_d2,start-year,,1
refined liquids transport_d3,refined liquids transport_d3,start-year,,1
refined liquids transport_d4,refined liquids transport_d4,start-year,,1
refined liquids transport_d5,refined liquids transport_d5,start-year,,1
refined liquids transport_d6,refined liquids transport_d6,start-year,,1
refined liquids transport_d7,refined liquids transport_d7,start-year,,1
refined liquids transport_d8,refined liquids transport_d8,start-year,,1
refined liquids transport_d9,refined liquids transport_d9,start-year,,1
refined liquids transport_d10,refined liquids transport_d10,start-year,,1
refined liquids bunkers_d1,refined liquids bunkers_d1,start-year,,1
refined liquids bunkers_d2,refined liquids bunkers_d2,start-year,,1
refined liquids bunkers_d3,refined liquids bunkers_d3,start-year,,1
refined liquids bunkers_d4,refined liquids bunkers_d4,start-year,,1
refined liquids bunkers_d5,refined liquids bunkers_d5,start-year,,1
refined liquids bunkers_d6,refined liquids bunkers_d6,start-year,,1
refined liquids bunkers_d7,refined liquids bunkers_d7,start-year,,1
refined liquids bunkers_d8,refined liquids bunkers_d8,start-year,,1
refined liquids bunkers_d9,refined liquids bunkers_d9,start-year,,1
refined liquids bunkers_d10,refined liquids bunkers_d10,start-year,,1
