# File: A54.CalPrice_trn.csv
# Title: Prices by service in the base years. Used to calibrate sigma parameter
# Units: 1975$/unit
# Source: GCAM v6.0 output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
Africa_Eastern,trn_aviation_intl,0.0766562,0.0767665,0.0854869,0.0857699
Africa_Eastern,trn_freight,0.0953681,0.135979,0.145477,0.147474
Africa_Eastern,trn_pass,0.0375348,0.0411318,0.0476398,0.0508724
Africa_Eastern,trn_shipping_intl,0.00165493,0.00165383,0.00221938,0.00233793
Africa_Northern,trn_aviation_intl,0.0789476,0.0804076,0.0897379,0.0897978
Africa_Northern,trn_freight,0.132367,0.108486,0.121621,0.132194
Africa_Northern,trn_pass,0.0782872,0.0861125,0.0930668,0.0913046
Africa_Northern,trn_shipping_intl,0.00163834,0.00167158,0.00224601,0.00236314
Africa_Southern,trn_aviation_intl,0.076367,0.0773628,0.0862303,0.0868267
Africa_Southern,trn_freight,0.0985707,0.11224,0.125326,0.127332
Africa_Southern,trn_pass,0.0481486,0.0543335,0.0646222,0.0680822
Africa_Southern,trn_shipping_intl,0.00161856,0.00165649,0.00221572,0.0023454
Africa_Western,trn_aviation_intl,0.0770415,0.0779105,0.0864908,0.0872408
Africa_Western,trn_freight,0.115326,0.123572,0.129585,0.122802
Africa_Western,trn_pass,0.0567076,0.0602296,0.0679262,0.0706899
Africa_Western,trn_shipping_intl,0.0016342,0.0016682,0.00222054,0.00235962
Argentina,trn_aviation_intl,0.0887481,0.092619,0.105626,0.105736
Argentina,trn_freight,0.0628131,0.0547215,0.0564544,0.0585348
Argentina,trn_pass,0.2262,0.268534,0.303125,0.304187
Argentina,trn_shipping_intl,0.00166978,0.00168532,0.00233069,0.00243125
Australia_NZ,trn_aviation_intl,0.106557,0.119375,0.130056,0.134166
Australia_NZ,trn_freight,0.092894,0.0988393,0.0973492,0.0963249
Australia_NZ,trn_pass,0.538891,0.614231,0.63249,0.649027
Australia_NZ,trn_shipping_intl,0.00164675,0.00168622,0.00226924,0.00243124
Brazil,trn_aviation_intl,0.0822267,0.0846564,0.0945445,0.0950016
Brazil,trn_freight,0.0391464,0.0421166,0.0471449,0.0503251
Brazil,trn_pass,0.192284,0.207681,0.22829,0.228139
Brazil,trn_shipping_intl,0.00171464,0.00173542,0.0022792,0.00240449
Canada,trn_aviation_intl,0.105008,0.115747,0.124053,0.127453
Canada,trn_freight,0.0650172,0.0644813,0.0703844,0.0770447
Canada,trn_pass,0.390376,0.44666,0.457366,0.469921
Canada,trn_shipping_intl,0.00164659,0.00168855,0.0022862,0.00244211
Central America and Caribbean,trn_aviation_intl,0.0890975,0.0875809,0.0960649,0.0972401
Central America and Caribbean,trn_freight,0.0505582,0.062159,0.0699488,0.0706775
Central America and Caribbean,trn_pass,0.168039,0.183579,0.201168,0.214273
Central America and Caribbean,trn_shipping_intl,0.00190325,0.00177785,0.00228124,0.00241533
Central Asia,trn_aviation_intl,0.0763898,0.0766942,0.0868199,0.0884223
Central Asia,trn_freight,0.0266682,0.030282,0.0368362,0.0415483
Central Asia,trn_pass,0.153457,0.15085,0.178013,0.191377
Central Asia,trn_shipping_intl,0,0.00167148,0.00227131,0.00241799
China,trn_aviation_intl,0.0800995,0.0821553,0.0934316,0.0957552
China,trn_freight,0.0376167,0.0452972,0.0479816,0.0496955
China,trn_pass,0.0349033,0.0690678,0.0919046,0.112116
China,trn_shipping_intl,0.00164247,0.00170821,0.00233728,0.00248206
Colombia,trn_aviation_intl,0.0866016,0.0884668,0.101383,0.101251
Colombia,trn_freight,0.0546398,0.0502228,0.056819,0.0758783
Colombia,trn_pass,0.20378,0.227909,0.256379,0.27143
Colombia,trn_shipping_intl,0.00166566,0.00169703,0.00239624,0.00241544
EU-12,trn_aviation_intl,0.08251,0.0875925,0.0989619,0.101563
EU-12,trn_freight,0.0431631,0.0526231,0.0592624,0.0611925
EU-12,trn_pass,0.233369,0.272226,0.299744,0.322164
EU-12,trn_shipping_intl,0.00167113,0.00173462,0.00234514,0.00247471
